year,gender,winner,loser,winner_country,loser_country,winner_firstServe,loser_firstServe,winner_ace,loser_ace,winner_doubleFault,loser_doubleFault,winner_firstPointWon,winner_firstPointWon,winner_secPointWon,loser_secPointWon,winner_break,loser_break,winner_return,loser_return,winner_totalPointWon,loser_totalPointWon,winner_winner,loser_winner,winner_error,loser_error
2015,m,Novak Djokovic,Roger Federer,SRB,SUI,62%,64%,3,11,5,5,66%,71%,54%,46%,46%,17%,38%,39%,147,145,35,56,37,54
2014,m,Marin Cilic,Kei Nishikori,CRO,JPN,52%,51%,17,2,3,1,80%,55%,61%,59%,45%,11%,43%,29%,93,68,38,19,27,30
2013,m,Rafael Nadal,Novak Djokovic,ESP,SRB,64%,68%,1,6,1,2,65%,58%,56%,48%,58%,27%,45%,38%,121,102,27,46,20,53
2012,m,Andy Murray,Novak Djokovic,GBR,SRB,65%,62%,5,7,4,5,62%,63%,48%,42%,47%,50%,44%,42%,160,155,31,40,56,65
2011,m,Novak Djokovic,Rafael Nadal,SRB,ESP,66%,68%,7,2,1,3,65%,52%,44%,42%,42%,43%,51%,42%,146,122,55,32,51,37
2010,m,Rafael Nadal,Novak Djokovic,ESP,SRB,67%,66%,8,5,2,4,73%,64%,57%,46%,23%,75%,42%,32%,136,119,49,45,31,47
2009,m,Juan Martin Del Potro,Roger Federer,ARG,SUI,65%,50%,8,13,6,11,73%,71%,55%,56%,33%,23%,36%,33%,180,172,57,56,60,62
2008,m,Roger Federer,Andy Murray,SUI,GBR,59%,56%,3,3,0,3,79%,51%,45%,47%,70%,40%,51%,35%,94,68,36,16,33,28
2007,m,Roger Federer,Novak Djokovic,SUI,SRB,60%,53%,11,5,4,7,78%,71%,64%,56%,60%,22%,36%,27%,119,103,42,32,34,40
2006,m,Roger Federer,Andy Roddick,SUI,USA,61%,66%,17,7,0,1,84%,65%,50%,39%,38%,25%,43%,29%,126,99,69,33,19,23
2015,w,Flavia Pennetta,Roberta Vinci,ITA,ITA,64%,64%,4,0,1,1,69%,55%,52%,50%,36%,50%,47%,27%,81,47,28,21,22,30
2014,w,Serena Williams,Caroline Wozniacki,USA,DEN,53%,63%,7,3,3,3,77%,56%,52%,38%,50%,50%,51%,35%,65,49,29,4,23,15
2013,w,Serena Williams,Victoria Azarenka,USA,BLR,57%,57%,9,2,5,7,76%,55%,47%,53%,58%,50%,45%,37%,109,91,36,17,35,27
2012,w,Serena Williams,Victoria Azarenka,USA,BLR,54%,64%,13,0,5,4,77%,55%,41%,53%,36%,50%,44%,38%,94,87,44,13,45,28
2011,w,Samantha Stosur,Serena Williams,AUS,USA,65%,52%,2,5,1,2,73%,62%,63%,33%,56%,20%,52%,30%,61,41,20,19,12,25
2010,w,Kim Clijsters,Vera Zvonareva,BEL,RUS,77%,66%,1,1,2,4,78%,48%,55%,36%,80%,0%,56%,27%,58,31,17,6,15,24
2009,w,Kim Clijsters,Caroline Wozniacki,BEL,DEN,62%,68%,3,0,2,3,62%,53%,47%,30%,63%,25%,54%,44%,82,66,36,10,34,21
2008,w,Serena Williams,Jelena Jankovic,USA,SRB,62%,68%,3,3,3,4,60%,54%,54%,43%,31%,38%,48%,42%,89,79,44,15,39,22
2007,w,Justine Henin,Svetlana Kuznetsova,BEL,RUS,57%,75%,4,1,7,0,82%,54%,46%,50%,50%,0%,47%,33%,70,54,25,11,21,29
2006,w,Maria Sharapova,Justine Henin,RUS,BEL,72%,53%,5,2,4,2,74%,66%,50%,57%,43%,100%,38%,33%,66,58,20,15,24,19
